date,WIG20
2018-04-26,2276.41
2018-04-29,2291.87
2018-05-01,2291.92
2018-05-03,2233.35
2018-05-06,2214.36
2018-05-07,2236.4
2018-05-08,2281.12
2018-05-09,2302.71
2018-05-10,2329.36
2018-05-13,2321.09
2018-05-14,2276.45
2018-05-15,2275.91
2018-05-16,2255.78
2018-05-17,2230.32
2018-05-20,2268.39
2018-05-21,2248.71
2018-05-22,2209.32
2018-05-23,2213.26
2018-05-24,2213.24
2018-05-27,2217.87
2018-05-28,2191.95
2018-05-29,2157.07
2018-05-31,2190.26
2018-06-03,2210.1
2018-06-04,2255.95
2018-06-05,2256.67
2018-06-06,2270.75
2018-06-07,2250.06
2018-06-10,2234.52
2018-06-11,2252.39
2018-06-12,2238.94
2018-06-13,2238.39
2018-06-14,2203.01
2018-06-17,2150.98
2018-06-18,2120.75
2018-06-19,2154.18
2018-06-20,2150.91
2018-06-21,2162.88
2018-06-24,2155.9
2018-06-25,2153.4
2018-06-26,2143.25
2018-06-27,2098.75
2018-06-28,2135.47
2018-07-01,2119.31
2018-07-02,2160.24
2018-07-03,2182.51
2018-07-04,2156.59
2018-07-05,2152.06
2018-07-08,2151.7
2018-07-09,2177.67
2018-07-10,2154.28
2018-07-11,2161.2
2018-07-12,2157.14
2018-07-15,2133.98
2018-07-16,2153.21
2018-07-17,2149.12
2018-07-18,2146.82
2018-07-19,2182.92
2018-07-22,2204.53
2018-07-23,2244.27
2018-07-24,2260.7
2018-07-25,2304.67
2018-07-26,2290.77
2018-07-29,2327.77
2018-07-30,2302.13
2018-07-31,2315.48
2018-08-01,2283.94
2018-08-02,2286.92
2018-08-05,2295.82
2018-08-06,2304.11
2018-08-07,2307.12
2018-08-08,2324.73
2018-08-09,2247.15
2018-08-12,2260.88
2018-08-13,2272.73
2018-08-15,2262.1
2018-08-16,2217.74
2018-08-19,2236.08
2018-08-20,2281.02
2018-08-21,2295.63
2018-08-22,2322.86
2018-08-23,2312.7
2018-08-26,2369.97
2018-08-27,2390.42
2018-08-28,2380.68
2018-08-29,2353.92
2018-08-30,2337.96
2018-09-02,2355.67
2018-09-03,2321.24
2018-09-04,2295.51
2018-09-05,2293.01
2018-09-06,2257.3
2018-09-09,2270.83
2018-09-10,2248.35
2018-09-11,2210.16
2018-09-12,2233.46
2018-09-13,2232.07
2018-09-16,2210.99
2018-09-17,2231.04
2018-09-18,2259.1
2018-09-19,2258.63
2018-09-20,2257.47
2018-09-23,2280.6
2018-09-24,2290.19
2018-09-25,2304.45
2018-09-26,2315.07
2018-09-27,2285.11
2018-09-30,2284.01
2018-10-01,2280.04
2018-10-02,2298.2
2018-10-03,2275.65
2018-10-04,2264.2
2018-10-07,2224.13
2018-10-08,2251.32
2018-10-09,2197.34
2018-10-10,2159.88
2018-10-11,2186.62
2018-10-14,2170.05
2018-10-15,2216.8
2018-10-16,2199.53
2018-10-17,2188.1
2018-10-18,2196.99
2018-10-21,2193.08
2018-10-22,2147.81
2018-10-23,2144.4
2018-10-24,2142.69
2018-10-25,2082.77
2018-10-28,2103.72
2018-10-29,2122.73
2018-10-30,2151.88
2018-11-01,2197.68
2018-11-04,2233.74
2018-11-05,2230.34
2018-11-06,2276.65
2018-11-07,2262.84
2018-11-08,2232.25
2018-11-12,2217.97
2018-11-13,2231.9
2018-11-14,2202.91
2018-11-15,2165.46
2018-11-18,2189.73
2018-11-19,2160.57
2018-11-20,2219.62
2018-11-21,2236.35
2018-11-22,2225.39
2018-11-25,2213.57
2018-11-26,2222.85
2018-11-27,2264.51
2018-11-28,2303.37
2018-11-29,2291.08
2018-12-02,2329.37
2018-12-03,2344.91
2018-12-04,2354.54
2018-12-05,2294.34
2018-12-06,2281.54
2018-12-09,2242.1
2018-12-10,2221.37
2018-12-11,2275.15
2018-12-12,2310.66
2018-12-13,2303.41
2018-12-16,2281.87
2018-12-17,2315.18
2018-12-18,2342.81
2018-12-19,2306.68
2018-12-20,2259.77
2018-12-26,2251.38
2018-12-27,2276.63
2019-01-01,2301.62
2019-01-02,2247.22
2019-01-03,2284.95
2019-01-06,2331.45
2019-01-07,2325.19
2019-01-08,2341.84
2019-01-09,2335.31
2019-01-10,2335.1
2019-01-13,2327.66
2019-01-14,2344.56
2019-01-15,2364.17
2019-01-16,2358.97
2019-01-17,2377.87
2019-01-20,2358.3
2019-01-21,2359.23
2019-01-22,2407.09
2019-01-23,2406.38
2019-01-24,2398.74
2019-01-27,2370.62
2019-01-28,2373.3
2019-01-29,2357.79
2019-01-30,2380.11
2019-01-31,2393.43
2019-02-03,2390.46
2019-02-04,2409.32
2019-02-05,2414.41
2019-02-06,2371.33
2019-02-07,2354.11
2019-02-10,2354.28
2019-02-11,2370.99
2019-02-12,2346.39
2019-02-13,2319.92
2019-02-14,2338.2
2019-02-17,2325.67
2019-02-18,2322.41
2019-02-19,2369.7
2019-02-20,2339.85
2019-02-21,2355.77
2019-02-24,2371.69
2019-02-25,2365.93
2019-02-26,2333.81
2019-02-27,2332.23
2019-02-28,2333.11
2019-03-03,2328.05
2019-03-04,2321.32
2019-03-05,2327.16
2019-03-06,2308.48
2019-03-07,2298.97
2019-03-10,2300.22
2019-03-11,2310.1
2019-03-12,2314.79
2019-03-13,2319.28
2019-03-14,2346.25
2019-03-17,2345.84
2019-03-18,2352.42
2019-03-19,2351.83
2019-03-20,2359.02
2019-03-21,2319.1
2019-03-24,2312.79
2019-03-25,2324.91
2019-03-26,2315.17
2019-03-27,2313.77
2019-03-28,2312.09
2019-03-31,2340.74
2019-04-01,2371.14
2019-04-02,2407.63
2019-04-03,2388.59
2019-04-04,2351.08
2019-04-07,2359.52
2019-04-08,2367.84
2019-04-09,2391.8
2019-04-10,2374.97
2019-04-11,2366.71
2019-04-14,2358.19
2019-04-15,2372.18
2019-04-16,2378.31
2019-04-17,2365.36
2019-04-22,2370.63
2019-04-23,2372.33
2019-04-24,2358.76
2019-04-25,2372.25
2019-04-28,2368.08
2019-04-29,2334.21
2019-05-01,2319.08
2019-05-05,2290.13
2019-05-06,2233.8
2019-05-07,2221.82
2019-05-08,2179.4
2019-05-09,2191.91
2019-05-12,2172.97
2019-05-13,2163.94
2019-05-14,2169.18
2019-05-15,2188.43
2019-05-16,2184.35
2019-05-19,2175.51
2019-05-20,2190.93
2019-05-21,2214.36
2019-05-22,2173.09
2019-05-23,2188.2
2019-05-26,2189.66
2019-05-27,2192.87
2019-05-28,2187.45
2019-05-29,2221.56
2019-05-30,2239.31
2019-06-02,2237.71
2019-06-03,2233.75
2019-06-04,2223.27
2019-06-05,2260.94
2019-06-06,2280.6
2019-06-09,2282.51
2019-06-10,2295.6
2019-06-11,2282.8
2019-06-12,2300.2
2019-06-13,2286.46
2019-06-16,2276.6
2019-06-17,2325.16
2019-06-18,2319.71
2019-06-20,2308.32
2019-06-23,2331.08
2019-06-24,2303.31
2019-06-25,2317.17
2019-06-26,2335.13
2019-06-27,2327.67
2019-06-30,2329.74
2019-07-01,2341.09
2019-07-02,2345.56
2019-07-03,2356.49
2019-07-04,2342.01
2019-07-07,2339.07
2019-07-08,2312.63
2019-07-09,2312.77
2019-07-10,2316.95
2019-07-11,2315.36
2019-07-14,2324.21
2019-07-15,2321.52
2019-07-16,2306.67
2019-07-17,2321.41
2019-07-18,2344.03
2019-07-21,2342.51
2019-07-22,2335.86
2019-07-23,2335.41
2019-07-24,2310.31
2019-07-25,2305.79
2019-07-28,2285.93
2019-07-29,2263.92
2019-07-30,2277.37
2019-07-31,2240.78
2019-08-01,2216.51
2019-08-04,2164.14
2019-08-05,2156.23
2019-08-06,2138.23
2019-08-07,2158.88
2019-08-08,2127.61
2019-08-11,2109.73
2019-08-12,2140.19
2019-08-13,2078.39
2019-08-15,2064.12
2019-08-18,2102.23
2019-08-19,2110.11
2019-08-20,2105.88
2019-08-21,2108.05
2019-08-22,2103.68
2019-08-25,2098.41
2019-08-26,2095.45
2019-08-27,2051.44
2019-08-28,2069.33
2019-08-29,2135.25
2019-09-01,2144.48
2019-09-02,2107.16
2019-09-03,2102.73
2019-09-04,2106.89
2019-09-05,2122.6
2019-09-08,2174.41
2019-09-09,2187.8
2019-09-10,2189.21
2019-09-11,2189.07
2019-09-12,2200.95
2019-09-15,2217.84
2019-09-16,2192.71
2019-09-17,2205.02
2019-09-18,2191.61
2019-09-19,2171.75
2019-09-22,2147.32
2019-09-23,2175.24
2019-09-24,2159.68
2019-09-25,2172.47
2019-09-26,2186.31
2019-09-29,2173.29
2019-09-30,2152.5
2019-10-01,2098.28
2019-10-02,2099.3
2019-10-03,2121.16
2019-10-06,2121.87
2019-10-07,2131.83
2019-10-08,2134.37
2019-10-09,2122.99
2019-10-10,2159.91
2019-10-13,2148.53
2019-10-14,2154.8
2019-10-15,2156.06
2019-10-16,2173.75
2019-10-17,2164.75
2019-10-20,2183.25
2019-10-21,2212.15
2019-10-22,2208.54
2019-10-23,2208.36
2019-10-24,2175.27
2019-10-27,2211.8
2019-10-28,2227.93
2019-10-29,2227.38
2019-10-30,2194.1
2019-11-03,2264.06
2019-11-04,2272.45
2019-11-05,2255.34
2019-11-06,2272.17
2019-11-07,2255.46
2019-11-11,2248.81
2019-11-12,2235.52
2019-11-13,2226.15
2019-11-14,2233.87
2019-11-17,2229.92
2019-11-18,2207.25
2019-11-19,2194.58
2019-11-20,2179.53
2019-11-21,2188.24
2019-11-24,2197.54
2019-11-25,2190.58
2019-11-26,2181.33
2019-11-27,2169.09
2019-11-28,2158.94
2019-12-01,2122.3
2019-12-02,2089.92
2019-12-03,2081.89
2019-12-04,2092.12
2019-12-05,2073.11
2019-12-08,2066.55
2019-12-09,2054.11
2019-12-10,2047.34
2019-12-11,2102.19
2019-12-12,2106.51
2019-12-15,2112.93
2019-12-16,2132.25
2019-12-17,2131.85
2019-12-18,2133.72
2019-12-19,2128.04
2019-12-22,2142.54
2019-12-26,2151.74
2019-12-29,2150.09
2020-01-01,2200.1
2020-01-02,2173.97
2020-01-06,2145.01
2020-01-07,2115.99
2020-01-08,2157.61
2020-01-09,2167.91
2020-01-12,2194.42
2020-01-13,2182.96
2020-01-14,2165.08
2020-01-15,2173.74
2020-01-16,2175.95
2020-01-19,2178.06
2020-01-20,2158.04
2020-01-21,2146.56
2020-01-22,2148.41
2020-01-23,2154.28
2020-01-26,2083.79
2020-01-27,2098.04
2020-01-28,2098.18
2020-01-29,2079.98
2020-01-30,2065.9
2020-02-02,2072.88
2020-02-03,2106.63
2020-02-04,2122.91
2020-02-05,2111.76
2020-02-06,2110.2
2020-02-09,2092.89
2020-02-10,2107.4
2020-02-11,2126.31
2020-02-12,2120.07
2020-02-13,2115.29
2020-02-16,2121.14
2020-02-17,2113.49
2020-02-18,2115.18
2020-02-19,2099.88
2020-02-20,2088.53
2020-02-23,2000.9
2020-02-24,1945.71
2020-02-25,1933.51
2020-02-26,1850.61
2020-02-27,1768.91
2020-03-01,1807.7
2020-03-02,1889.67
2020-03-03,1860.95
2020-03-04,1822.85
2020-03-05,1764.81
2020-03-08,1625.99
2020-03-09,1599.48
2020-03-10,1505.64
2020-03-11,1305.73
2020-03-12,1365.97
2020-03-15,1341.54
2020-03-16,1429.28
2020-03-17,1401.29
2020-03-18,1469.43
2020-03-19,1488.42
2020-03-22,1405.45
2020-03-23,1451.02
2020-03-24,1441.83
2020-03-25,1492.01
2020-03-26,1475.9
2020-03-29,1477.65
2020-03-30,1512.84
2020-03-31,1482.42
2020-04-01,1491.55
2020-04-02,1506.48
2020-04-05,1581.05
2020-04-06,1603.5
2020-04-07,1579.18
2020-04-08,1615.72
2020-04-13,1662.4
2020-04-14,1606.21
2020-04-15,1597.9
2020-04-16,1625.59
2020-04-19,1640.06
2020-04-20,1573.44
2020-04-21,1605.12
2020-04-22,1626.1
2020-04-23,1601.91
2020-04-26,1591.97
2020-04-27,1594.25
2020-04-28,1651.33
2020-04-29,1648.68
2020-05-03,1600.65
2020-05-04,1598.84
2020-05-05,1567.98
2020-05-06,1587.35
2020-05-07,1606.5
2020-05-10,1587.31
2020-05-11,1622.51
2020-05-12,1614.32
2020-05-13,1579.16
2020-05-14,1572.55
2020-05-17,1639.08
2020-05-18,1640.18
2020-05-19,1652.64
2020-05-20,1637.84
2020-05-21,1630.44
2020-05-24,1644.74
2020-05-25,1709.71
2020-05-26,1707.59
2020-05-27,1718.45
2020-05-28,1722.65
2020-05-31,1733.52
2020-06-01,1736.36
2020-06-02,1766.85
2020-06-03,1786.58
2020-06-04,1842.47
2020-06-07,1841.25
2020-06-08,1835.59
2020-06-09,1841.18
2020-06-11,1788.83
2020-06-14,1741.47
2020-06-15,1798.0
2020-06-16,1787.81
2020-06-17,1795.86
2020-06-18,1807.85
2020-06-21,1797.05
2020-06-22,1825.99
2020-06-23,1784.23
2020-06-24,1793.36
2020-06-25,1759.43
2020-06-28,1769.47
2020-06-29,1758.82
2020-06-30,1772.38
2020-07-01,1804.01
2020-07-02,1800.96
2020-07-05,1818.55
2020-07-06,1800.93
2020-07-07,1788.22
2020-07-08,1791.68
2020-07-09,1797.27
2020-07-12,1801.64
2020-07-13,1771.7
2020-07-14,1794.78
2020-07-15,1799.08
2020-07-16,1796.04
2020-07-19,1840.6
2020-07-20,1845.34
2020-07-21,1830.61
2020-07-22,1820.25
2020-07-23,1810.33
2020-07-26,1830.87
2020-07-27,1823.52
2020-07-28,1824.53
2020-07-29,1763.22
2020-07-30,1767.54
2020-08-02,1804.38
2020-08-03,1811.46
2020-08-04,1833.2
2020-08-05,1818.64
2020-08-06,1817.23
2020-08-09,1823.15
2020-08-10,1847.73
2020-08-11,1855.86
2020-08-12,1858.35
2020-08-13,1856.56
2020-08-16,1862.12
2020-08-17,1840.33
2020-08-18,1833.22
2020-08-19,1815.03
2020-08-20,1820.6
2020-08-23,1841.46
2020-08-24,1821.29
2020-08-25,1848.35
2020-08-26,1846.5
2020-08-27,1829.79
2020-08-30,1800.21
2020-08-31,1772.61
2020-09-01,1785.44
2020-09-02,1769.19
2020-09-03,1758.11
2020-09-06,1772.85
2020-09-07,1733.88
2020-09-08,1773.37
2020-09-09,1764.86
2020-09-10,1772.89
2020-09-13,1758.65
2020-09-14,1743.93
2020-09-15,1738.1
2020-09-16,1745.73
2020-09-17,1731.76
2020-09-20,1682.26
2020-09-21,1693.09
2020-09-22,1685.4
2020-09-23,1665.96
2020-09-24,1674.14
2020-09-27,1738.44
2020-09-28,1718.21
2020-09-29,1712.73
2020-09-30,1694.18
2020-10-01,1697.39
2020-10-04,1731.85
2020-10-05,1735.45
2020-10-06,1736.61
2020-10-07,1719.91
2020-10-08,1698.91
2020-10-11,1683.21
2020-10-12,1660.12
2020-10-13,1670.26
2020-10-14,1627.59
2020-10-15,1655.36
2020-10-18,1648.11
2020-10-19,1656.34
2020-10-20,1641.42
2020-10-21,1642.7
2020-10-22,1645.32
2020-10-25,1631.66
2020-10-26,1625.54
2020-10-27,1549.74
2020-10-28,1542.76
2020-10-29,1515.97
2020-11-01,1556.14
2020-11-02,1636.28
2020-11-03,1640.94
2020-11-04,1670.43
2020-11-05,1697.49
2020-11-08,1765.71
2020-11-09,1779.34
2020-11-11,1771.49
2020-11-12,1749.41
2020-11-15,1799.02
2020-11-16,1793.56
2020-11-17,1810.43
2020-11-18,1789.79
2020-11-19,1820.85
2020-11-22,1832.04
2020-11-23,1859.42
2020-11-24,1860.15
2020-11-25,1849.57
2020-11-26,1852.69
2020-11-29,1830.04
2020-11-30,1853.38
2020-12-01,1897.97
2020-12-02,1890.11
2020-12-03,1947.68
2020-12-06,1958.53
2020-12-07,1970.27
2020-12-08,1994.12
2020-12-09,1984.0
2020-12-10,1950.85
2020-12-13,1939.07
2020-12-14,1955.69
2020-12-15,1985.26
2020-12-16,1975.76
2020-12-17,1952.54
2020-12-20,1888.8
2020-12-21,1928.4
2020-12-22,1955.84
2020-12-27,2004.41
2020-12-28,2016.01
2020-12-29,1983.98
2021-01-03,2008.75
2021-01-04,2009.12
2021-01-06,2074.11
2021-01-07,2072.74
2021-01-10,2066.97
2021-01-11,2043.73
2021-01-12,2023.36
2021-01-13,2031.71
2021-01-14,1985.68
2021-01-17,2023.74
2021-01-18,1980.12
2021-01-19,1986.09
2021-01-20,1953.49
2021-01-21,1952.67
2021-01-24,1945.78
2021-01-25,1981.98
2021-01-26,1929.21
2021-01-27,1987.83
2021-01-28,1948.01
2021-01-31,1967.72
2021-02-01,1954.02
2021-02-02,1940.69
2021-02-03,1927.02
2021-02-04,1957.73
2021-02-07,1952.1
2021-02-08,1941.6
2021-02-09,1917.54
2021-02-10,1954.92
2021-02-11,1937.07
2021-02-14,1974.82
2021-02-15,2004.54
2021-02-16,1986.8
2021-02-17,1980.77
2021-02-18,1985.31
2021-02-21,1961.62
2021-02-22,1922.59
2021-02-23,1937.9
2021-02-24,1936.47
2021-02-25,1907.28
2021-02-28,1949.57
2021-03-01,1959.52
2021-03-02,1943.24
2021-03-03,1944.86
2021-03-04,1939.59
2021-03-07,1965.25
2021-03-08,1994.18
2021-03-09,2003.55
2021-03-10,1994.38
2021-03-11,2006.11
2021-03-14,2001.24
2021-03-15,1981.41
2021-03-16,1939.01
2021-03-17,1960.75
2021-03-18,1927.56
2021-03-21,1929.12
2021-03-22,1923.55
2021-03-23,1899.95
2021-03-24,1876.85
2021-03-25,1918.71
2021-03-28,1953.02
2021-03-29,1942.32
2021-03-30,1938.84
2021-03-31,1954.38
2021-04-05,2012.87
2021-04-06,1998.73
2021-04-07,1980.32
2021-04-08,1975.11
2021-04-11,1982.58
2021-04-12,1974.73
2021-04-13,2011.96
2021-04-14,2019.29
2021-04-15,2012.27
2021-04-18,1998.99
2021-04-19,1987.76
2021-04-20,1982.4
2021-04-21,1989.73
2021-04-22,1986.63
2021-04-25,2005.1
2021-04-26,1998.92
2021-04-27,2029.64
2021-04-28,2050.69
2021-04-29,2037.59
2021-05-03,2004.04
2021-05-04,2047.36
2021-05-05,2046.67
2021-05-06,2097.31
2021-05-09,2115.7
2021-05-10,2110.48
2021-05-11,2091.39
2021-05-12,2089.32
2021-05-13,2092.8
2021-05-16,2128.49
2021-05-17,2136.54
2021-05-18,2115.15
2021-05-19,2131.18
2021-05-20,2139.06
2021-05-23,2134.18
2021-05-24,2153.78
2021-05-25,2164.89
2021-05-26,2207.47
2021-05-27,2236.31
2021-05-30,2233.36
2021-05-31,2233.37
2021-06-01,2252.26
2021-06-03,2254.59
2021-06-06,2246.63
2021-06-07,2237.61
2021-06-08,2218.45
2021-06-09,2236.89
2021-06-10,2224.67
2021-06-13,2253.2
2021-06-14,2230.37
2021-06-15,2225.27
2021-06-16,2211.58
2021-06-17,2220.68
2021-06-20,2219.45
2021-06-21,2220.53
2021-06-22,2233.7
2021-06-23,2273.11
2021-06-24,2282.46
2021-06-27,2285.81
2021-06-28,2258.24
2021-06-29,2218.41
2021-06-30,2250.58
2021-07-01,2252.18
2021-07-04,2258.82
2021-07-05,2228.46
2021-07-06,2285.79
2021-07-07,2234.6
2021-07-08,2251.78
2021-07-11,2255.48
2021-07-12,2264.26
2021-07-13,2268.57
2021-07-14,2260.49
2021-07-15,2258.1
2021-07-18,2205.86
2021-07-19,2221.28
2021-07-20,2241.97
2021-07-21,2229.86
2021-07-22,2242.41
2021-07-25,2240.65
2021-07-26,2224.59
2021-07-27,2245.76
2021-07-28,2265.69
2021-07-29,2253.45
2021-08-01,2253.28
2021-08-02,2257.73
2021-08-03,2272.09
2021-08-04,2270.67
2021-08-05,2273.89
2021-08-08,2274.48
2021-08-09,2277.23
2021-08-10,2283.69
2021-08-11,2297.72
2021-08-12,2302.03
2021-08-15,2282.1
2021-08-16,2300.04
2021-08-17,2284.97
2021-08-18,2260.02
2021-08-19,2255.56
2021-08-22,2287.52
2021-08-23,2300.9
2021-08-24,2325.19
2021-08-25,2309.44
2021-08-26,2323.77
2021-08-29,2350.23
2021-08-30,2368.03
